_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
48432,6203,9535,Capt'n Clever,2003.0,Capt'n Clever,2003.0
48476,6216,3617,Balloon Cup,2003.0,Balloon Cup,2003.0
48864,6278,6340,Oh Really!,2003.0,"Oh, Really!",2003.0
49304,6304,3617,America's Cup,2003.0,Balloon Cup,2003.0
49363,6330,902,Brute Force: The War in the West 1940-1945,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
49445,6330,9944,Brute Force: The War in the West 1940-1945,2003.0,Korea: The Forgotten War,2003.0
49454,6332,811,The Kids of Catan,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
49751,6383,2458,Chess Empire,2003.0,Federation & Empire: Advanced Operations,2003.0
49882,6385,6665,When Darkness Comes: The Darkness Before the Dawn,2003.0,When Darkness Comes: Darkness Before the Dawn,2003.0
50353,6456,7924,Mystery Rummy: Al Capone and the Chicago Underworld,2003.0,Mystery Rummy: Al Capone and the Chicago Underworld,2003.0
50580,6573,2532,Duel of Ages Set 1: Worldspanner,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
50605,6573,6071,Duel of Ages Set 1: Worldspanner,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
50631,6573,8262,Duel of Ages Set 1: Worldspanner,2003.0,Friendly Fire Pack #1,2003.0
50771,6616,3312,Pack of Flies,2003.0,Pack of Flies,2003.0
50815,6616,8262,Pack of Flies,2003.0,Friendly Fire Pack #1,2003.0
50838,6642,1245,Zombies!!! 3:  Mall Walkers,2003.0,Munchkin 3: Clerical Errors,2003.0
51087,6645,7865,Nobody but Us Chickens,2003.0,Nobody but us Chickens,2003.0
51224,6667,2532,Duel of Ages Set 2: Intensity,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
51249,6667,6071,Duel of Ages Set 2: Intensity,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
51316,6669,2532,Duel of Ages Set 6: Field of Honor,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
51341,6669,6071,Duel of Ages Set 6: Field of Honor,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
51390,6670,1245,Duel of Ages Set 3: Vast Horizons,2003.0,Munchkin 3: Clerical Errors,2003.0
51408,6670,2532,Duel of Ages Set 3: Vast Horizons,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
51433,6670,6071,Duel of Ages Set 3: Vast Horizons,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
51500,6671,2532,Duel of Ages Set 4: Royal Tournament,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
51525,6671,6071,Duel of Ages Set 4: Royal Tournament,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
51572,6672,1070,Duel of Ages Set 5: Mercenary Camp,2003.0,Summer Camp,2003.0
51592,6672,2532,Duel of Ages Set 5: Mercenary Camp,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
51617,6672,6071,Duel of Ages Set 5: Mercenary Camp,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
51684,6673,2532,Duel of Ages Set 7: Ruins of Cany XII,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
51709,6673,6071,Duel of Ages Set 7: Ruins of Cany XII,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
